2017-01-06 05:00:00 0.0 -6.2 1001.5 55.13 7.8
2017-01-06 06:00:00 0.0 -6.2 999.7 55.86 8.4
2017-01-06 07:00:00 0.0 -6.6 995.9 49.61 7.7
2017-01-06 08:00:00 0.0 -5.4 992.8 47.06 7.4
2017-01-06 09:00:00 0.0 -5.3 990.1 53.35 8.0
2017-01-06 10:00:00 0.0 -4.8 987.1 58.9 7.4
2017-01-06 11:00:00 0.0 -5.2 984.1 65.59 7.1
2017-01-06 12:00:00 0.0 -5.1 980.3 49.35 8.2
2017-01-06 13:00:00 0.0 -5.0 978.7 42.27 8.9
2017-01-06 14:00:00 0.0 -5.1 979.5 49.77 8.6
2017-01-06 15:00:00 0.0 -5.8 979.2 62.82 8.1
2017-01-06 16:00:00 0.0 -6.5 979.3 58.53 8.3
2017-01-06 17:00:00 0.0 -6.4 980.8 57.21 8.5
2017-01-06 18:00:00 0.0 -6.0 981.1 66.0 8.2
2017-01-06 19:00:00 0.3 -5.7 983.9 78.3 8.0
2017-01-06 20:00:00 0.8 -5.8 984.7 91.2 6.9
2017-01-06 21:00:00 0.2 -5.7 985.6 91.7 6.4
2017-01-06 22:00:00 0.0 -6.1 987.1 87.3 6.6
2017-01-06 23:00:00 0.0 -5.9 988.1 87.2 6.8
2017-01-07 00:00:00 0.0 -6.0 988.7 85.4 5.8
2017-01-07 01:00:00 0.0 -5.8 989.7 85.9 6.2
2017-01-07 02:00:00 0.0 -6.2 989.9 82.1 5.4
2017-01-07 03:00:00 0.0 -7.0 990.0 80.1 5.2
2017-01-07 04:00:00 0.0 -7.6 991.9 79.47 7.6
2017-01-07 05:00:00 0.0 -6.9 992.0 77.84 6.5
2017-01-07 06:00:00 0.0 -6.9 993.1 81.9 3.9
2017-01-07 07:00:00 0.0 -6.9 993.2 81.0 3.5
2017-01-07 08:00:00 0.0 -7.3 994.2 83.0 3.2
2017-01-07 09:00:00 0.0 -7.3 994.7 84.7 3.0
2017-01-07 10:00:00 0.0 -7.5 993.7 85.2 2.1
2017-01-07 11:00:00 0.0 -7.7 994.4 85.6 2.9
2017-01-07 12:00:00 0.0 -7.4 994.7 80.4 5.0
2017-01-07 13:00:00 0.0 -7.4 996.1 86.7 4.7
2017-01-07 14:00:00 0.0 -7.8 995.8 86.9 5.2
2017-01-07 15:00:00 0.0 -7.6 996.1 72.9 6.0
