! data from Xianmin @ http://knossos.eas.ualberta.ca/xianmin/nadja/
! format: date; next line; z (m), u (m/s), v (m/s); etc.
2002/01/05 00:00:00 22 2
  -1.54  0.0754 0.0034
  -2.65  0.0754 0.0034
  -3.82  0.0754 0.0034
  -5.08  0.0754 0.0034
  -6.44  0.0754 0.0033
  -7.93  0.0763 0.0024
  -9.57  0.0777 -0.0010
 -11.41  0.0775 -0.0063
 -13.47  0.0759 -0.0094
 -15.81  0.0749 -0.0101
 -18.50  0.0738 -0.0095
 -21.60  0.0734 -0.0082
 -25.21  0.0738 -0.0075
 -29.44  0.0738 -0.0065
 -34.43  0.0743 -0.0057
 -40.34  0.0748 -0.0063
 -47.37  0.0743 -0.0041
 -55.76  0.0749 -0.0047
 -65.81  0.0767 -0.0056
 -77.85  0.0799 -0.0077
 -92.33  0.0796 -0.0084
2002/03/06 00:00:00 22 2
  -0.49  0.0920 -0.0049
  -1.54  0.0920 -0.0049
  -2.65  0.0920 -0.0049
  -3.82  0.0920 -0.0049
  -5.08  0.0920 -0.0049
  -6.44  0.0920 -0.0049
  -7.93  0.0921 -0.0049
  -9.57  0.0923 -0.0052
 -11.41  0.0923 -0.0056
 -13.47  0.0924 -0.0063
 -15.81  0.0926 -0.0069
 -18.50  0.0924 -0.0071
 -21.60  0.0923 -0.0070
 -25.21  0.0923 -0.0069
 -29.44  0.0923 -0.0068
 -34.43  0.0924 -0.0064
 -40.34  0.0924 -0.0064
 -47.37  0.0916 -0.0062
 -55.76  0.0908 -0.0081
 -65.81  0.0933 -0.0093
 -77.85  0.0963 -0.0115
 -92.33  0.0952 -0.0125
2002/03/11 00:00:00 22 2
  -0.49  0.1123 0.0238
  -1.54  0.1123 0.0238
  -2.65  0.1126 0.0246
  -3.82  0.1133 0.0253
  -5.08  0.1165 0.0249
  -6.44  0.1205 0.0243
  -7.93  0.1265 0.0211
  -9.57  0.1339 0.0130
 -11.41  0.1408 0.0003
 -13.47  0.1429 -0.0109
 -15.81  0.1401 -0.0152
 -18.50  0.1356 -0.0155
 -21.60  0.1330 -0.0143
 -25.21  0.1318 -0.0128
 -29.44  0.1306 -0.0115
 -34.43  0.1297 -0.0104
 -40.34  0.1288 -0.0118
 -47.37  0.1247 -0.0135
 -55.76  0.1245 -0.0143
 -65.81  0.1255 -0.0148
 -77.85  0.1346 -0.0162
 -92.33  0.1329 -0.0206
2002/03/16 00:00:00 22 2
  -0.49  0.0977 0.0240
  -1.54  0.0978 0.0245
  -2.65  0.1000 0.0269
  -3.82  0.1044 0.0267
  -5.08  0.1089 0.0255
  -6.44  0.1142 0.0233
  -7.93  0.1235 0.0160
  -9.57  0.1318 -0.0004
 -11.41  0.1291 -0.0144
 -13.47  0.1201 -0.0200
 -15.81  0.1125 -0.0213
 -18.50  0.1062 -0.0209
 -21.60  0.1044 -0.0184
 -25.21  0.1049 -0.0147
 -29.44  0.1054 -0.0118
 -34.43  0.1049 -0.0116
 -40.34  0.1039 -0.0138
 -47.37  0.1016 -0.0158
 -55.76  0.1004 -0.0154
 -65.81  0.1003 -0.0143
 -77.85  0.1052 -0.0154
 -92.33  0.1056 -0.0165
2002/03/21 00:00:00 22 2
  -0.49  0.1055 0.0271
  -1.54  0.1061 0.0290
  -2.65  0.1116 0.0298
  -3.82  0.1167 0.0289
  -5.08  0.1216 0.0285
  -6.44  0.1280 0.0256
  -7.93  0.1395 0.0173
  -9.57  0.1485 0.0009
 -11.41  0.1488 -0.0146
 -13.47  0.1402 -0.0219
 -15.81  0.1332 -0.0239
 -18.50  0.1254 -0.0225
 -21.60  0.1221 -0.0200
 -25.21  0.1221 -0.0161
 -29.44  0.1227 -0.0139
 -34.43  0.1224 -0.0135
 -40.34  0.1207 -0.0138
 -47.37  0.1184 -0.0146
 -55.76  0.1161 -0.0147
 -65.81  0.1143 -0.0137
 -77.85  0.1160 -0.0144
 -92.33  0.1177 -0.0168
2002/03/26 00:00:00 22 2
  -0.49  0.1181 0.0293
  -1.54  0.1198 0.0345
  -2.65  0.1277 0.0348
  -3.82  0.1340 0.0357
  -5.08  0.1414 0.0343
  -6.44  0.1509 0.0300
  -7.93  0.1619 0.0204
  -9.57  0.1724 0.0035
 -11.41  0.1774 -0.0145
 -13.47  0.1724 -0.0244
 -15.81  0.1653 -0.0271
 -18.50  0.1568 -0.0281
 -21.60  0.1498 -0.0239
 -25.21  0.1491 -0.0206
 -29.44  0.1501 -0.0189
 -34.43  0.1496 -0.0193
 -40.34  0.1485 -0.0188
 -47.37  0.1463 -0.0198
 -55.76  0.1443 -0.0198
 -65.81  0.1432 -0.0181
 -77.85  0.1449 -0.0185
 -92.33  0.1438 -0.0228
2002/03/31 00:00:00 22 2
  -0.49  0.1191 0.0299
  -1.54  0.1210 0.0354
  -2.65  0.1288 0.0352
  -3.82  0.1358 0.0358
  -5.08  0.1438 0.0342
  -6.44  0.1544 0.0288
  -7.93  0.1660 0.0160
  -9.57  0.1779 -0.0024
 -11.41  0.1820 -0.0205
 -13.47  0.1747 -0.0268
 -15.81  0.1661 -0.0311
 -18.50  0.1534 -0.0299
 -21.60  0.1509 -0.0239
 -25.21  0.1530 -0.0241
 -29.44  0.1532 -0.0221
 -34.43  0.1527 -0.0226
 -40.34  0.1517 -0.0224
 -47.37  0.1498 -0.0228
 -55.76  0.1474 -0.0227
 -65.81  0.1454 -0.0208
 -77.85  0.1462 -0.0207
 -92.33  0.1434 -0.0232
2002/04/05 00:00:00 22 2
  -0.49  0.1656 -0.0177
  -1.54  0.1658 -0.0170
  -2.65  0.1667 -0.0168
  -3.82  0.1678 -0.0166
  -5.08  0.1688 -0.0167
  -6.44  0.1709 -0.0183
  -7.93  0.1728 -0.0215
  -9.57  0.1746 -0.0256
 -11.41  0.1740 -0.0291
 -13.47  0.1717 -0.0301
 -15.81  0.1691 -0.0304
 -18.50  0.1652 -0.0284
 -21.60  0.1642 -0.0259
 -25.21  0.1650 -0.0251
 -29.44  0.1650 -0.0237
 -34.43  0.1649 -0.0216
 -40.34  0.1638 -0.0211
 -47.37  0.1590 -0.0197
 -55.76  0.1559 -0.0193
 -65.81  0.1530 -0.0178
 -77.85  0.1532 -0.0174
 -92.33  0.1482 -0.0189
2002/04/10 00:00:00 22 2
  -0.49  0.1617 0.0021
  -1.54  0.1617 0.0021
  -2.65  0.1624 0.0021
  -3.82  0.1639 0.0021
  -5.08  0.1658 0.0020
  -6.44  0.1675 0.0018
  -7.93  0.1696 0.0011
  -9.57  0.1717 -0.0003
 -11.41  0.1742 -0.0025
 -13.47  0.1769 -0.0059
 -15.81  0.1798 -0.0102
 -18.50  0.1824 -0.0141
 -21.60  0.1833 -0.0165
 -25.21  0.1827 -0.0171
 -29.44  0.1822 -0.0173
 -34.43  0.1794 -0.0189
 -40.34  0.1724 -0.0226
 -47.37  0.1644 -0.0253
 -55.76  0.1601 -0.0273
 -65.81  0.1559 -0.0259
 -77.85  0.1556 -0.0248
 -92.33  0.1492 -0.0269
2002/04/15 00:00:00 22 2
  -0.49  0.1707 0.0017
  -1.54  0.1708 0.0019
  -2.65  0.1725 0.0017
  -3.82  0.1754 0.0013
  -5.08  0.1782 0.0005
  -6.44  0.1809 -0.0013
  -7.93  0.1847 -0.0047
  -9.57  0.1896 -0.0100
 -11.41  0.1948 -0.0167
 -13.47  0.1997 -0.0235
 -15.81  0.2024 -0.0287
 -18.50  0.2016 -0.0312
 -21.60  0.1980 -0.0292
 -25.21  0.1950 -0.0255
 -29.44  0.1918 -0.0223
 -34.43  0.1834 -0.0242
 -40.34  0.1821 -0.0237
 -47.37  0.1800 -0.0256
 -55.76  0.1775 -0.0268
 -65.81  0.1745 -0.0245
 -77.85  0.1750 -0.0240
 -92.33  0.1683 -0.0284
2002/04/20 00:00:00 22 2
  -0.49  0.2141 -0.0242
  -1.54  0.2141 -0.0242
  -2.65  0.2142 -0.0243
  -3.82  0.2146 -0.0247
  -5.08  0.2149 -0.0254
  -6.44  0.2152 -0.0265
  -7.93  0.2156 -0.0289
  -9.57  0.2164 -0.0313
 -11.41  0.2176 -0.0334
 -13.47  0.2191 -0.0355
 -15.81  0.2197 -0.0368
 -18.50  0.2187 -0.0367
 -21.60  0.2170 -0.0350
 -25.21  0.2155 -0.0331
 -29.44  0.2131 -0.0310
 -34.43  0.2093 -0.0317
 -40.34  0.2038 -0.0303
 -47.37  0.2020 -0.0300
 -55.76  0.1980 -0.0318
 -65.81  0.1937 -0.0299
 -77.85  0.1911 -0.0294
 -92.33  0.1799 -0.0324
2002/04/25 00:00:00 22 2
  -0.49  0.1930 -0.0306
  -1.54  0.1932 -0.0306
  -2.65  0.1936 -0.0307
  -3.82  0.1942 -0.0308
  -5.08  0.1949 -0.0310
  -6.44  0.1960 -0.0316
  -7.93  0.1970 -0.0322
  -9.57  0.1980 -0.0331
 -11.41  0.1988 -0.0342
 -13.47  0.1998 -0.0354
 -15.81  0.2011 -0.0365
 -18.50  0.2021 -0.0377
 -21.60  0.2024 -0.0385
 -25.21  0.2016 -0.0385
 -29.44  0.2006 -0.0372
 -34.43  0.1973 -0.0351
 -40.34  0.1974 -0.0332
 -47.37  0.1965 -0.0339
 -55.76  0.1945 -0.0357
 -65.81  0.1921 -0.0355
 -77.85  0.1897 -0.0353
 -92.33  0.1770 -0.0380
2002/04/30 00:00:00 22 2
  -0.49  0.1207 0.0008
  -1.54  0.1233 0.0007
  -2.65  0.1263 0.0006
  -3.82  0.1304 -0.0006
  -5.08  0.1344 -0.0023
  -6.44  0.1385 -0.0053
  -7.93  0.1427 -0.0105
  -9.57  0.1460 -0.0181
 -11.41  0.1479 -0.0266
 -13.47  0.1468 -0.0335
 -15.81  0.1436 -0.0374
 -18.50  0.1399 -0.0383
 -21.60  0.1376 -0.0372
 -25.21  0.1364 -0.0349
 -29.44  0.1352 -0.0327
 -34.43  0.1322 -0.0301
 -40.34  0.1319 -0.0308
 -47.37  0.1310 -0.0324
 -55.76  0.1300 -0.0332
 -65.81  0.1291 -0.0318
 -77.85  0.1273 -0.0296
 -92.33  0.1180 -0.0274
2002/05/05 00:00:00 22 2
  -0.49  0.0473 -0.0001
  -1.54  0.0479 0.0004
  -2.65  0.0491 0.0007
  -3.82  0.0507 0.0005
  -5.08  0.0527 -0.0003
  -6.44  0.0554 -0.0025
  -7.93  0.0554 -0.0070
  -9.57  0.0529 -0.0110
 -11.41  0.0493 -0.0139
 -13.47  0.0470 -0.0160
 -15.81  0.0455 -0.0166
 -18.50  0.0442 -0.0167
 -21.60  0.0434 -0.0158
 -25.21  0.0437 -0.0133
 -29.44  0.0451 -0.0103
 -34.43  0.0458 -0.0085
 -40.34  0.0458 -0.0083
 -47.37  0.0458 -0.0082
 -55.76  0.0451 -0.0078
 -65.81  0.0438 -0.0072
 -77.85  0.0428 -0.0064
 -92.33  0.0374 -0.0031
2002/05/10 00:00:00 22 2
  -0.49  0.0892 0.0132
  -1.54  0.0950 0.0138
  -2.65  0.1017 0.0134
  -3.82  0.1071 0.0122
  -5.08  0.1119 0.0100
  -6.44  0.1173 0.0051
  -7.93  0.1218 -0.0037
  -9.57  0.1223 -0.0154
 -11.41  0.1165 -0.0247
 -13.47  0.1087 -0.0276
 -15.81  0.1045 -0.0254
 -18.50  0.1037 -0.0219
 -21.60  0.1044 -0.0191
 -25.21  0.1053 -0.0167
 -29.44  0.1061 -0.0157
 -34.43  0.1073 -0.0145
 -40.34  0.1081 -0.0135
 -47.37  0.1085 -0.0140
 -55.76  0.1088 -0.0148
 -65.81  0.1086 -0.0153
 -77.85  0.1098 -0.0166
 -92.33  0.1050 -0.0160
2002/05/15 00:00:00 22 2
  -0.49  0.0829 0.0136
  -1.54  0.0904 0.0151
  -2.65  0.0979 0.0140
  -3.82  0.1043 0.0117
  -5.08  0.1112 0.0064
  -6.44  0.1175 -0.0039
  -7.93  0.1157 -0.0174
  -9.57  0.1081 -0.0248
 -11.41  0.1013 -0.0262
 -13.47  0.0974 -0.0245
 -15.81  0.0959 -0.0235
 -18.50  0.0949 -0.0231
 -21.60  0.0946 -0.0228
 -25.21  0.0948 -0.0223
 -29.44  0.0957 -0.0222
 -34.43  0.0962 -0.0219
 -40.34  0.0966 -0.0234
 -47.37  0.0966 -0.0234
 -55.76  0.0966 -0.0227
 -65.81  0.0965 -0.0221
 -77.85  0.0983 -0.0223
 -92.33  0.0957 -0.0197
2002/05/20 00:00:00 22 2
  -0.49  0.1360 0.0167
  -1.54  0.1471 0.0176
  -2.65  0.1571 0.0166
  -3.82  0.1649 0.0146
  -5.08  0.1727 0.0101
  -6.44  0.1799 0.0004
  -7.93  0.1823 -0.0145
  -9.57  0.1799 -0.0285
 -11.41  0.1730 -0.0378
 -13.47  0.1635 -0.0391
 -15.81  0.1586 -0.0339
 -18.50  0.1590 -0.0312
 -21.60  0.1600 -0.0296
 -25.21  0.1611 -0.0275
 -29.44  0.1626 -0.0260
 -34.43  0.1634 -0.0262
 -40.34  0.1638 -0.0264
 -47.37  0.1634 -0.0263
 -55.76  0.1622 -0.0259
 -65.81  0.1602 -0.0248
 -77.85  0.1592 -0.0255
 -92.33  0.1516 -0.0254
2002/05/25 00:00:00 22 2
  -0.49  0.1026 -0.0035
  -1.54  0.1071 -0.0035
  -2.65  0.1107 -0.0045
  -3.82  0.1135 -0.0060
  -5.08  0.1156 -0.0079
  -6.44  0.1169 -0.0105
  -7.93  0.1173 -0.0140
  -9.57  0.1171 -0.0179
 -11.41  0.1162 -0.0215
 -13.47  0.1142 -0.0242
 -15.81  0.1120 -0.0256
 -18.50  0.1105 -0.0256
 -21.60  0.1101 -0.0246
 -25.21  0.1107 -0.0234
 -29.44  0.1115 -0.0231
 -34.43  0.1120 -0.0237
 -40.34  0.1118 -0.0243
 -47.37  0.1111 -0.0239
 -55.76  0.1092 -0.0230
 -65.81  0.1066 -0.0217
 -77.85  0.1045 -0.0200
 -92.33  0.0970 -0.0164
2002/05/30 00:00:00 22 2
  -0.49  0.0665 -0.0041
  -1.54  0.0743 -0.0015
  -2.65  0.0802 -0.0013
  -3.82  0.0849 -0.0027
  -5.08  0.0890 -0.0058
  -6.44  0.0914 -0.0108
  -7.93  0.0913 -0.0166
  -9.57  0.0889 -0.0215
 -11.41  0.0859 -0.0241
 -13.47  0.0834 -0.0248
 -15.81  0.0822 -0.0241
 -18.50  0.0824 -0.0226
 -21.60  0.0836 -0.0210
 -25.21  0.0849 -0.0194
 -29.44  0.0860 -0.0185
 -34.43  0.0865 -0.0190
 -40.34  0.0866 -0.0194
 -47.37  0.0861 -0.0189
 -55.76  0.0849 -0.0179
 -65.81  0.0828 -0.0165
 -77.85  0.0810 -0.0150
 -92.33  0.0768 -0.0120
2002/06/04 00:00:00 22 2
  -0.49  0.1092 -0.0163
  -1.54  0.1082 -0.0181
  -2.65  0.1074 -0.0192
  -3.82  0.1063 -0.0206
  -5.08  0.1046 -0.0227
  -6.44  0.1011 -0.0245
  -7.93  0.0966 -0.0247
  -9.57  0.0936 -0.0239
 -11.41  0.0922 -0.0237
 -13.47  0.0918 -0.0235
 -15.81  0.0922 -0.0232
 -18.50  0.0930 -0.0225
 -21.60  0.0942 -0.0216
 -25.21  0.0956 -0.0206
 -29.44  0.0970 -0.0205
 -34.43  0.0979 -0.0200
 -40.34  0.0986 -0.0201
 -47.37  0.0988 -0.0192
 -55.76  0.0985 -0.0181
 -65.81  0.0970 -0.0168
 -77.85  0.0955 -0.0153
 -92.33  0.0901 -0.0116
2002/06/09 00:00:00 22 2
  -0.49  0.1598 -0.0504
  -1.54  0.1508 -0.0512
  -2.65  0.1443 -0.0505
  -3.82  0.1389 -0.0485
  -5.08  0.1342 -0.0459
  -6.44  0.1299 -0.0427
  -7.93  0.1268 -0.0389
  -9.57  0.1258 -0.0350
 -11.41  0.1255 -0.0322
 -13.47  0.1262 -0.0301
 -15.81  0.1276 -0.0291
 -18.50  0.1293 -0.0281
 -21.60  0.1310 -0.0271
 -25.21  0.1329 -0.0259
 -29.44  0.1349 -0.0254
 -34.43  0.1362 -0.0252
 -40.34  0.1363 -0.0257
 -47.37  0.1366 -0.0251
 -55.76  0.1362 -0.0248
 -65.81  0.1347 -0.0244
 -77.85  0.1333 -0.0241
 -92.33  0.1258 -0.0202
2002/06/14 00:00:00 22 2
  -0.49  0.1126 0.0172
  -1.54  0.1286 0.0124
  -2.65  0.1388 0.0056
