 -73.75  6.27000046
 -71.25  6.26888943
 -68.75  6.27000046
 -66.25  6.27000046
 -63.75  6.27111149
 -61.25  6.27111149
 -58.75  6.27333355
 -56.25  6.27111149
 -53.75  6.27166653
 -51.25  6.27166653
 -48.75  6.27111149
 -46.25  6.27111149
 -43.75  6.27111149
 -41.25  6.26888943
 -38.75  6.2705555
 -36.25  6.26888943
 -33.75  6.26888943
 -31.25  6.26888943
 -28.75  6.26944447
 -26.25  6.27277756
 -23.75  6.26888943
 -21.25  6.26888943
 -18.75  6.26944447
 -16.25  6.2705555
 -13.75  6.27111149
 -11.25  6.27111149
 -8.75  6.27111149
 -6.25  6.27333355
 -3.75  6.27166653
 -1.25  6.27166653
1976/03/29 06:00:00  56 1
 -138.75  6.25361156
 -136.25  6.2541666
 -133.75  6.25444508
 -131.25  6.25444508
 -128.75  6.25444508
 -126.25  6.25444508
 -123.75  6.25444508
 -121.25  6.25444508
 -118.75  6.25444508
 -116.25  6.25444508
 -113.75  6.25444508
 -111.25  6.25444508
 -108.75  6.25444508
 -106.25  6.26027775
 -103.75  6.26222229
 -101.25  6.26222229
 -98.75  6.26138878
 -96.25  6.26888943
 -93.75  6.26888943
 -91.25  6.2677784
 -88.75  6.2677784
 -86.25  6.2677784
 -83.75  6.26888943
 -81.25  6.26222229
 -78.75  6.27000046
 -76.25  6.26500034
 -73.75  6.27000046
 -71.25  6.26444435
 -68.75  6.27000046
 -66.25  6.26500034
 -63.75  6.26555538
 -61.25  6.26555538
 -58.75  6.26666737
 -56.25  6.26555538
 -53.75  6.26583385
 -51.25  6.26583385
 -48.75  6.26555538
 -46.25  6.26555538
 -43.75  6.26555538
 -41.25  6.26444435
 -38.75  6.26527786
 -36.25  6.26444435
 -33.75  6.26444435
 -31.25  6.26444435
 -28.75  6.26472282
 -26.25  6.26638889
 -23.75  6.26444435
 -21.25  6.26444435
 -18.75  6.26472282
 -16.25  6.26527786
 -13.75  6.26555538
 -11.25  6.26555538
 -8.75  6.26555538
 -6.25  6.26666737
 -3.75  6.26583385
 -1.25  6.26583385
1976/03/29 12:00:00  56 1
 -138.75  6.25
 -136.25  6.25
 -133.75  6.25
 -131.25  6.25
 -128.75  6.25
 -126.25  6.25
 -123.75  6.25
 -121.25  6.25
 -118.75  6.25
 -116.25  6.25
 -113.75  6.25
 -111.25  6.25
 -108.75  6.25
 -106.25  6.25750065
 -103.75  6.26000023
 -101.25  6.26000023
 -98.75  6.26000023
 -96.25  6.27000046
 -93.75  6.27000046
 -91.25  6.27000046
 -88.75  6.27000046
 -86.25  6.27000046
 -83.75  6.27000046
 -81.25  6.26000023
 -78.75  6.27000046
 -76.25  6.26249981
 -73.75  6.27000046
 -71.25  6.26000023
 -68.75  6.27000046
 -66.25  6.26000023
 -63.75  6.26000023
 -61.25  6.26000023
 -58.75  6.26000023
 -56.25  6.26000023
 -53.75  6.26000023
 -51.25  6.26000023
 -48.75  6.26000023
 -46.25  6.26000023
 -43.75  6.26000023
 -41.25  6.26000023
 -38.75  6.26000023
 -36.25  6.26000023
 -33.75  6.26000023
 -31.25  6.26000023
 -28.75  6.26000023
 -26.25  6.26000023
 -23.75  6.26000023
 -21.25  6.26000023
 -18.75  6.26000023
 -16.25  6.26000023
 -13.75  6.26000023
 -11.25  6.26000023
 -8.75  6.26000023
 -6.25  6.26000023
 -3.75  6.26000023
 -1.25  6.26000023
1976/03/29 18:00:00  56 1
 -138.75  6.25750065
 -136.25  6.25750065
 -133.75  6.25687504
 -131.25  6.25562572
 -128.75  6.25562572
 -126.25  6.25687504
 -123.75  6.25750065
 -121.25  6.25750065
 -118.75  6.25812531
 -116.25  6.25937557
 -113.75  6.25921917
 -111.25  6.2576561
 -108.75  6.25812531
 -106.25  6.26000023
 -103.75  6.26249981
 -101.25  6.26249981
 -98.75  6.26312542
 -96.25  6.26500034
 -93.75  6.265625
 -91.25  6.26749992
 -88.75  6.26749992
 -86.25  6.26749992
 -83.75  6.265625
 -81.25  6.26749992
 -78.75  6.26249981
 -76.25  6.26312542
 -73.75  6.26249981
 -71.25  6.26249981
 -68.75  6.26000023
 -66.25  6.26187515
 -63.75  6.26249981
 -61.25  6.26249981
 -58.75  6.26249981
 -56.25  6.26249981
 -53.75  6.26000023
 -51.25  6.26249981
 -48.75  6.26000023
 -46.25  6.26000023
 -43.75  6.26000023
 -41.25  6.26000023
 -38.75  6.26000023
 -36.25  6.26000023
 -33.75  6.25750065
 -31.25  6.25750065
 -28.75  6.25750065
 -26.25  6.25750065
 -23.75  6.25750065
 -21.25  6.25750065
 -18.75  6.25500011
 -16.25  6.25500011
 -13.75  6.25437546
 -11.25  6.25250053
 -8.75  6.25250053
 -6.25  6.25500011
 -3.75  6.25500011
 -1.25  6.25312519
1976/03/30 00:00:00  56 1
 -138.75  6.26375008
 -136.25  6.2612505
 -133.75  6.2612505
 -131.25  6.26375008
 -128.75  6.26375008
 -126.25  6.2612505
 -123.75  6.26000023
 -121.25  6.26000023
 -118.75  6.25874996
 -116.25  6.25625038
 -113.75  6.25812531
 -111.25  6.26437569
 -108.75  6.26500034
 -106.25  6.26500034
 -103.75  6.25500011
 -101.25  6.25
 -98.75  6.25500011
 -96.25  6.25
 -93.75  6.24875069
 -91.25  6.24499989
 -88.75  6.25
 -86.25  6.25
 -83.75  6.24499989
 -81.25  6.24499989
 -78.75  6.24499989
 -76.25  6.24499989
 -73.75  6.24499989
 -71.25  6.24499989
 -68.75  6.24499989
 -66.25  6.24499989
 -63.75  6.24499989
 -61.25  6.24499989
 -58.75  6.24499989
 -56.25  6.24499989
 -53.75  6.24499989
 -51.25  6.24499989
 -48.75  6.24499989
 -46.25  6.24499989
 -43.75  6.25
 -41.25  6.24499989
 -38.75  6.24000072
 -36.25  6.24000072
 -33.75  6.24000072
 -31.25  6.24000072
 -28.75  6.24000072
 -26.25  6.24000072
 -23.75  6.23624992
 -21.25  6.24000072
 -18.75  6.23624992
 -16.25  6.24000072
 -13.75  6.24000072
 -11.25  6.23624992
 -8.75  6.23124981
 -6.25  6.23500061
 -3.75  6.24000072
 -1.25  6.24000072
1976/03/30 06:00:00  56 1
 -138.75  6.24916649
 -136.25  6.24750042
 -133.75  6.24666691
 -131.25  6.24666691
 -128.75  6.24750042
 -126.25  6.24916649
 -123.75  6.24916649
 -121.25  6.24750042
 -118.75  6.24499989
 -116.25  6.24166679
 -113.75  6.24000072
 -111.25  6.24000072
 -108.75  6.24000072
 -106.25  6.24000072
 -103.75  6.24000072
 -101.25  6.24000072
 -98.75  6.23666668
 -96.25  6.24000072
 -93.75  6.23916721
 -91.25  6.23666668
 -88.75  6.23666668
 -86.25  6.23666668
 -83.75  6.23666668
 -81.25  6.23666668
 -78.75  6.23666668
 -76.25  6.23666668
 -73.75  6.23666668
 -71.25  6.23333359
 -68.75  6.23666668
 -66.25  6.23333359
 -63.75  6.2341671
 -61.25  6.23166656
 -58.75  6.23583317
 -56.25  6.23583317
 -53.75  6.23666668
 -51.25  6.23666668
 -48.75  6.23666668
 -46.25  6.23083401
 -43.75  6.2300005
 -41.25  6.2300005
 -38.75  6.2300005
 -36.25  6.2300005
 -33.75  6.2300005
 -31.25  6.2300005
 -28.75  6.2300005
 -26.25  6.2300005
 -23.75  6.22749996
 -21.25  6.22749996
 -18.75  6.22666645
 -16.25  6.22666645
 -13.75  6.22583389
 -11.25  6.22333336
 -8.75  6.22000027
 -6.25  6.22000027
 -3.75  6.22000027
 -1.25  6.21750069
1976/03/30 12:00:00  56 1
 -138.75  6.24000072
 -136.25  6.24000072
 -133.75  6.24000072
 -131.25  6.24000072
 -128.75  6.23916721
 -126.25  6.23750019
 -123.75  6.23666668
 -121.25  6.23666668
 -118.75  6.23666668
 -116.25  6.23666668
 -113.75  6.23666668
 -111.25  6.23666668
 -108.75  6.23583317
 -106.25  6.23583317
 -103.75  6.23333359
 -101.25  6.2300005
 -98.75  6.23083401
 -96.25  6.23250008
 -93.75  6.2300005
 -91.25  6.2300005
 -88.75  6.22666645
 -86.25  6.22666645
 -83.75  6.22666645
 -81.25  6.22666645
